Time,Displacement,Force
(s),(mm),(mN)
"0.0000","0.0000","-0.5818"
"0.0200","0.0001","0.7035"
"0.0400","0.0002","0.6696"
"0.0600","0.0010","0.0854"
"0.0800","0.0007","-0.5211"
"0.1000","0.0008","-0.3399"
"0.1200","0.0010","0.9445"
"0.1400","0.0014","0.4631"
"0.1600","0.0031","0.0951"
"0.1800","0.0051","-0.1737"
"0.2000","0.0068","0.7714"
"0.2200","0.0082","-0.0938"
"0.2400","0.0094","-1.2225"
"0.2600","0.0105","-1.3965"
"0.2800","0.0116","-0.3827"
"0.3000","0.0127","1.0928"
"0.3200","0.0138","0.5607"
"0.3400","0.0149","-1.0057"
"0.3600","0.0158","-0.4160"
"0.3800","0.0168","0.4486"
"0.4000","0.0178","0.9066"
"0.4200","0.0188","-0.1777"
"0.4400","0.0197","-0.7553"
"0.4600","0.0208","0.5915"
"0.4800","0.0218","1.4206"
"0.5000","0.0229","-0.5704"
"0.5200","0.0239","-0.6216"
"0.5400","0.0249","-0.1674"
"0.5600","0.0259","0.2068"
"0.5800","0.0269","0.4239"
"0.6000","0.0278","-0.5489"
"0.6200","0.0287","-0.8669"
"0.6400","0.0297","-0.7287"
"0.6600","0.0308","0.2883"
"0.6800","0.0319","0.0008"
"0.7000","0.0330","-0.3674"
"0.7200","0.0341","0.0111"
"0.7400","0.0351","1.4809"
"0.7600","0.0360","1.1127"
"0.7800","0.0370","-0.6013"
"0.8000","0.0380","-1.3471"
"0.8200","0.0391","-0.0072"
"0.8400","0.0401","1.8305"
"0.8600","0.0410","0.9372"
"0.8800","0.0420","-0.7843"
"0.9000","0.0431","-0.8394"
"0.9200","0.0440","0.7557"
"0.9400","0.0450","0.5778"
"0.9600","0.0460","-0.4433"
"0.9800","0.0470","-1.3635"
"1.0000","0.0480","0.0887"
"1.0200","0.0490","1.4085"
"1.0400","0.0500","1.3625"
"1.0600","0.0510","-0.8163"
"1.0800","0.0519","-1.2321"
"1.1000","0.0529","-0.2253"
"1.1200","0.0539","1.1116"
"1.1400","0.0548","0.3009"
"1.1600","0.0558","-0.7734"
"1.1800","0.0568","-0.0247"
"1.2000","0.0578","1.1998"
"1.2200","0.0589","0.8965"
"1.2400","0.0599","-1.0566"
"1.2600","0.0609","-0.4956"
"1.2800","0.0618","0.6744"
"1.3000","0.0628","1.7035"
"1.3200","0.0638","-0.5369"
"1.3400","0.0647","-0.5611"
"1.3600","0.0657","-0.1629"
"1.3800","0.0669","1.2477"
"1.4000","0.0680","0.3935"
"1.4200","0.0691","0.0141"
"1.4400","0.0701","-0.6248"
"1.4600","0.0711","0.6973"
"1.4800","0.0720","0.9044"
"1.5000","0.0730","0.5927"
"1.5200","0.0740","-1.4369"
"1.5400","0.0750","-0.1107"
"1.5600","0.0761","0.7686"
"1.5800","0.0771","0.8708"
"1.6000","0.0781","-0.7300"
"1.6200","0.0791","-0.9983"
"1.6400","0.0801","0.7095"
"1.6600","0.0811","1.6138"
"1.6800","0.0820","0.4392"
"1.7000","0.0831","-1.4507"
"1.7200","0.0841","-0.2266"
"1.7400","0.0851","0.7698"
"1.7600","0.0860","0.9392"
"1.7800","0.0870","-0.4415"
"1.8000","0.0880","-1.2764"
"1.8200","0.0890","0.1975"
"1.8400","0.0900","1.8083"
"1.8600","0.0909","0.1376"
"1.8800","0.0918","-0.9152"
"1.9000","0.0928","-1.0095"
"1.9200","0.0938","1.6015"
"1.9400","0.0949","1.6247"
"1.9600","0.0959","0.4173"
"1.9800","0.0969","-1.1303"
"2.0000","0.0979","0.5097"
"2.0200","0.0989","0.6004"
"2.0400","0.0997","-0.2363"
"2.0600","0.1006","-1.2415"
"2.0800","0.1017","0.1123"
"2.1000","0.1028","1.0756"
"2.1200","0.1040","0.8120"
"2.1400","0.1051","-0.9254"
"2.1600","0.1061","-0.8437"
"2.1800","0.1071","0.0302"
"2.2000","0.1080","0.9606"
"2.2200","0.1089","0.5833"
"2.2400","0.1099","-0.7394"
